iter	Passed	Remaining
402	11378	16855
403	11406	16827
404	11431	16794
405	11472	16784
406	11503	16760
407	11536	16739
408	11562	16707
409	11587	16674
410	11614	16644
411	11642	16615
412	11671	16589
413	11699	16560
414	11727	16531
415	11756	16504
416	11785	16477
417	11815	16451
418	11851	16433
419	11875	16400
420	11902	16369
421	11927	16336
422	11952	16304
423	11979	16273
424	12017	16259
425	12052	16239
426	12077	16206
427	12116	16192
428	12141	16160
429	12168	16130
430	12194	16098
431	12220	16067
432	12246	16035
433	12270	16001
434	12295	15969
435	12320	15937
436	12348	15909
437	12373	15876
438	12399	15846
439	12431	15821
440	12467	15804
441	12492	15771
442	12516	15737
443	12542	15706
444	12567	15674
445	12600	15651
446	12624	15618
447	12650	15587
448	12676	15556
449	12702	15525
450	12731	15498
451	12757	15466
452	12782	15434
453	12814	15410
454	12838	15378
455	12866	15348
456	12895	15321
457	12919	15289
458	12948	15261
459	12979	15236
460	13004	15205
461	13030	15174
462	13055	15142
463	13083	15113
464	13110	15084
465	13146	15064
466	13170	15031
467	13197	15002
468	13225	14973
469	13250	14942
470	13277	14912
471	13301	14880
472	13328	14850
473	13354	14819
474	13390	14799
475	13416	14769
476	13442	14739
477	13477	14718
478	13509	14694
479	13545	14674
480	13571	14643
481	13597	14613
482	13622	14581
483	13648	14551
484	13675	14520
485	13699	14488
486	13728	14461
487	13759	14435
488	13788	14408
489	13819	14383
490	13846	14354
491	13874	14325
492	13901	14296
493	13927	14265
494	13953	14235
495	13990	14215
496	14026	14195
497	14052	14165
498	14076	14132
499	14103	14103
500	14131	14074
501	14159	14046
502	14187	14018
503	14213	13987
504	14243	13961
505	14271	13932
506	14297	13902
507	14323	13872
508	14357	13849
509	14382	13818
510	14421	13800
511	14454	13776
512	14479	13745
513	14507	13717
514	14535	13688
515	14562	13658
516	14588	13629
517	14621	13605
518	14653	13581
519	14676	13547
520	14702	13517
521	14736	13494
522	14761	13463
523	14788	13434
524	14813	13402
525	14838	13372
526	14865	13342
527	14890	13311
528	14916	13280
529	14948	13255
530	14973	13225
531	15005	13200
532	15029	13168
533	15056	13139
534	15082	13109
535	15121	13090
536	15147	13060
537	15172	13029
538	15199	13000
539	15236	12979
540	15261	12948
541	15287	12918
542	15319	12893
543	15344	12862
544	15370	12831
545	15395	12801
546	15421	12771
547	15448	12741
548	15474	12711
549	15502	12683
550	15526	12652
551	15553	12622
552	15577	12591
553	15603	12561
554	15630	12532
555	15655	12501
556	15682	12472
557	15708	12443
558	15735	12413
559	15762	12384
560	15787	12354
561	15816	12326
562	15841	12296
563	15872	12269
564	15900	12242
565	15932	12216
566	15959	12187
567	15997	12167
568	16024	12138
569	16050	12108
570	16075	12077
571	16099	12046
572	16131	12021
573	16164	11996
574	16195	11970
575	16219	11939
576	16248	11911
577	16272	11880
578	16297	11850
579	16323	11820
580	16349	11790
581	16374	11760
582	16399	11730
583	16425	11700
584	16450	11670
585	16476	11640
586	16512	11617
587	16545	11593
588	16577	11567
589	16601	11536
590	16629	11508
591	16653	11477
592	16681	11449
593	16706	11419
594	16731	11388
595	16762	11362
596	16786	11331
597	16813	11302
598	16837	11271
599	16862	11241
600	16889	11212
601	16915	11183
602	16943	11154
603	16967	11124
604	16994	11095
605	17024	11068
606	17054	11041
607	17087	11017
608	17116	10989
609	17156	10968
610	17188	10943
611	17217	10915
612	17244	10886
613	17269	10856
614	17296	10827
615	17324	10799
616	17349	10769
617	17389	10748
618	17414	10718
619	17441	10690
620	17473	10664
621	17498	10634
622	17526	10605
623	17551	10575
624	17577	10546
625	17608	10519
626	17632	10489
627	17658	10460
628	17688	10433
629	17714	10403
630	17740	10374
631	17768	10346
632	17795	10317
633	17825	10290
634	17851	10260
635	17888	10238
636	17914	10208
637	17941	10180
638	17966	10150
639	17995	10122
640	18025	10095
641	18056	10069
642	18086	10041
643	18113	10012
644	18138	9983
645	18175	9960
646	18225	9943
647	18263	9920
648	18306	9900
649	18337	9873
650	18363	9844
651	18387	9814
652	18411	9783
653	18438	9754
654	18467	9727
655	18504	9703
656	18529	9673
657	18556	9644
658	18582	9615
659	18608	9586
660	18634	9557
661	18671	9533
662	18696	9503
663	18722	9474
664	18748	9444
665	18785	9420
666	18809	9390
667	18835	9361
668	18861	9332
669	18888	9303
670	18914	9273
671	18937	9243
672	18964	9214
673	18988	9184
674	19014	9154
675	19038	9125
676	19065	9096
677	19098	9070
678	19124	9040
679	19150	9012
680	19179	8984
681	19213	8958
682	19238	8928
683	19266	8900
684	19290	8870
685	19318	8842
686	19344	8813
687	19369	8783
688	19394	8754
689	19420	8725
690	19447	8696
691	19473	8667
692	19499	8638
693	19527	8610
694	19552	8580
695	19583	8553
696	19615	8527
697	19640	8497
698	19667	8469
699	19695	8440
700	19724	8413
701	19751	8384
702	19781	8357
703	19816	8331
704	19843	8303
705	19870	8274
706	19899	8247
707	19931	8220
708	19956	8190
709	19995	8167
710	20020	8137
711	20046	8108
712	20079	8082
713	20105	8053
714	20133	8025
715	20164	7998
716	20192	7970
717	20221	7941
718	20259	7917
719	20283	7888
720	20310	7859
721	20344	7833
722	20370	7804
723	20395	7775
724	20420	7745
725	20446	7716
726	20480	7690
727	20513	7664
728	20551	7639
729	20588	7615
730	20616	7586
731	20644	7558
732	20670	7529
733	20699	7501
734	20725	7472
735	20751	7443
736	20778	7414
737	20801	7384
738	20826	7355
739	20852	7326
740	20878	7297
741	20905	7268
742	20930	7239
743	20957	7211
744	20982	7181
745	21008	7153
746	21033	7123
747	21058	7094
748	21084	7065
749	21111	7037
750	21136	7008
751	21161	6978
752	21187	6949
753	21222	6924
754	21247	6894
755	21274	6866
756	21302	6838
757	21328	6809
758	21355	6780
759	21380	6751
760	21409	6723
761	21434	6694
762	21471	6669
763	21496	6640
764	21521	6611
765	21547	6582
766	21573	6553
767	21598	6524
768	21625	6496
769	21652	6467
770	21679	6439
771	21705	6410
772	21736	6383
773	21761	6354
774	21787	6325
775	21812	6296
776	21838	6267
777	21863	6238
778	21887	6209
779	21920	6182
780	21945	6153
781	21971	6125
782	21996	6095
783	22023	6067
784	22053	6040
785	22077	6010
786	22103	5982
787	22128	5953
788	22156	5925
789	22183	5896
790	22209	5868
791	22253	5844
792	22279	5815
793	22307	5787
794	22336	5759
795	22365	5731
796	22390	5702
797	22417	5674
798	22450	5647
799	22476	5619
800	22501	5590
801	22525	5561
802	22552	5532
803	22582	5505
804	22608	5476
805	22634	5448
806	22659	5419
807	22697	5393
808	22732	5366
809	22758	5338
810	22784	5309
811	22811	5281
812	22836	5252
813	22865	5224
814	22895	5197
815	22932	5171
816	22957	5142
817	22984	5113
818	23011	5085
819	23035	5056
820	23063	5028
821	23098	5001
822	23123	4973
823	23149	4944
824	23177	4916
825	23212	4889
826	23237	4861
827	23264	4832
828	23290	4804
829	23318	4775
830	23343	4747
831	23368	4718
832	23395	4690
833	23430	4663
834	23462	4636
835	23495	4609
836	23520	4580
837	23546	4551
838	23580	4524
839	23613	4497
840	23639	4469
841	23663	4440
842	23690	4412
843	23714	4383
844	23742	4355
845	23767	4326
846	23795	4298
847	23828	4271
848	23866	4244
849	23893	4216
850	23916	4187
851	23943	4159
852	23968	4130
853	23994	4102
854	24027	4074
855	24052	4046
856	24079	4017
857	24113	3990
858	24137	3962
859	24163	3933
860	24189	3905
861	24226	3878
862	24251	3849
863	24278	3821
864	24304	3793
865	24343	3766
866	24373	3738
867	24414	3712
868	24441	3684
869	24469	3656
870	24506	3629
871	24529	3600
872	24557	3572
873	24582	3543
874	24610	3515
875	24644	3488
876	24672	3460
877	24696	3431
878	24722	3403
879	24746	3374
880	24772	3346
881	24799	3317
882	24826	3289
883	24854	3261
884	24892	3234
885	24922	3206
886	24947	3178
887	24974	3149
888	25005	3122
889	25030	3093
890	25056	3065
891	25091	3037
892	25120	3009
893	25145	2981
894	25172	2953
895	25197	2924
896	25225	2896
897	25257	2868
898	25289	2841
899	25320	2813
900	25345	2784
901	25372	2756
902	25397	2728
903	25422	2699
904	25447	2671
905	25473	2642
906	25499	2614
907	25525	2586
908	25550	2557
909	25591	2531
910	25619	2502
911	25644	2474
912	25672	2446
913	25697	2417
914	25722	2389
915	25747	2361
916	25786	2334
917	25810	2305
918	25836	2277
919	25863	2249
920	25890	2220
921	25921	2192
922	25953	2165
923	25981	2137
924	26020	2109
925	26048	2081
926	26073	2053
927	26099	2024
928	26125	1996
929	26151	1968
930	26183	1940
931	26208	1912
932	26235	1883
933	26266	1856
934	26299	1828
935	26334	1800
936	26365	1772
937	26391	1744
938	26430	1717
939	26456	1688
940	26487	1660
941	26520	1632
