iter	Passed	Remaining
0	32	32828
1	54	27407
2	79	26326
3	101	25336
4	123	24536
5	147	24438
6	171	24374
7	195	24233
8	216	23822
9	239	23755
10	264	23793
11	285	23480
12	308	23397
13	332	23418
14	355	23373
15	380	23395
16	405	23461
17	429	23416
18	452	23356
19	474	23266
20	498	23235
21	521	23173
22	544	23122
23	567	23061
24	590	23021
25	614	23014
26	636	22952
27	660	22929
28	683	22898
29	707	22886
30	732	22886
31	755	22860
32	778	22816
33	802	22801
34	826	22781
35	848	22724
36	872	22704
37	896	22706
38	919	22668
39	944	22658
40	967	22639
41	992	22637
42	1015	22591
43	1038	22566
44	1061	22533
45	1085	22521
46	1110	22526
47	1133	22486
48	1157	22466
49	1180	22431
50	1202	22383
51	1228	22387
52	1252	22382
53	1276	22369
54	1299	22332
55	1323	22310
56	1346	22274
57	1369	22241
58	1392	22208
59	1415	22174
60	1442	22201
61	1467	22207
62	1492	22198
63	1516	22179
64	1542	22185
65	1565	22150
66	1588	22126
67	1613	22112
68	1636	22083
69	1661	22070
70	1684	22035
71	1708	22019
72	1728	21954
73	1754	21949
74	1778	21930
75	1800	21887
76	1824	21866
77	1847	21836
78	1871	21820
79	1894	21791
80	1917	21760
81	1941	21733
82	1964	21709
83	1988	21685
84	2012	21668
85	2035	21637
86	2060	21625
87	2083	21592
88	2107	21570
89	2131	21546
90	2156	21540
91	2180	21519
92	2204	21495
93	2227	21467
94	2251	21446
95	2276	21433
96	2299	21406
97	2324	21392
98	2347	21366
99	2373	21359
100	2395	21326
101	2420	21311
102	2443	21284
103	2467	21256
104	2490	21230
105	2514	21204
106	2538	21184
107	2560	21149
108	2583	21119
109	2608	21103
110	2631	21074
111	2655	21052
112	2678	21027
113	2703	21011
114	2727	20986
115	2750	20958
116	2773	20932
117	2796	20902
118	2822	20894
119	2845	20864
120	2871	20858
121	2894	20832
122	2919	20816
123	2942	20790
124	2966	20765
125	2988	20732
126	3011	20698
127	3034	20672
128	3058	20648
129	3082	20630
130	3106	20609
131	3130	20584
132	3154	20563
133	3178	20541
134	3202	20516
135	3225	20488
136	3250	20473
137	3273	20448
138	3297	20423
139	3320	20400
140	3344	20378
141	3367	20344
142	3389	20315
143	3415	20304
144	3439	20279
145	3463	20256
146	3486	20232
147	3510	20208
148	3533	20178
149	3556	20155
150	3579	20125
151	3603	20104
152	3627	20082
153	3654	20078
154	3682	20075
155	3707	20057
156	3731	20034
157	3755	20012
158	3779	19992
159	3802	19964
160	3826	19941
161	3850	19917
162	3873	19891
163	3898	19870
164	3920	19840
165	3942	19809
166	3967	19792
167	3991	19766
168	4016	19749
169	4040	19726
170	4066	19714
171	4090	19692
172	4114	19668
173	4138	19644
174	4164	19630
175	4188	19610
176	4212	19586
177	4235	19560
178	4258	19532
179	4282	19509
180	4305	19480
