iter	Logloss
0	0.679036522
1	0.667130765
2	0.6578649132
3	0.650005545
4	0.6432640588
5	0.6379781894
6	0.6333681884
7	0.6294818589
8	0.6262232228
9	0.6232026182
10	0.6204826838
11	0.6182603394
12	0.6162584499
13	0.6145616818
14	0.6128892862
15	0.611641265
16	0.6101988346
17	0.6090170974
18	0.6078624938
19	0.6068022906
20	0.6058701137
21	0.6050694933
22	0.6043644797
23	0.603558107
24	0.6028761612
25	0.602216674
26	0.6015595394
27	0.6009900719
28	0.6004368471
29	0.5999651663
30	0.5994852472
31	0.5989792115
32	0.598508756
33	0.5980971174
34	0.5977833999
35	0.5974527192
36	0.597192304
37	0.5968832132
38	0.5966030668
39	0.596354211
40	0.5959988187
41	0.5957244265
42	0.5953143996
43	0.5951273129
44	0.5949017654
45	0.5946565721
46	0.5943612716
47	0.5940929375
48	0.5938423959
49	0.5936172115
50	0.5933730853
51	0.5931311024
52	0.5928730925
53	0.5926594809
54	0.5924514492
55	0.5922632042
56	0.5920038833
57	0.5918944069
58	0.5917746498
59	0.5916334495
60	0.5914313584
61	0.5912559597
62	0.5909831448
63	0.5908770073
64	0.5907580051
65	0.5905772991
66	0.5903955617
67	0.5902465002
68	0.59005914
69	0.5898697442
70	0.5896621432
71	0.5895251305
72	0.589279523
73	0.5891299084
74	0.5889720352
75	0.5887865018
76	0.5886517381
77	0.5885008153
78	0.5883907391
79	0.5882247327
80	0.5880804464
81	0.5879193344
82	0.5877743984
83	0.5876541423
84	0.587530783
85	0.5873944549
86	0.5872172718
87	0.5870651059
88	0.5869675174
89	0.5868425831
90	0.5866956142
91	0.5865502731
92	0.5864080407
93	0.5862744829
94	0.586115252
95	0.5860261243
96	0.5859027649
97	0.5857608156
98	0.585577253
99	0.5853921924
100	0.5852944698
101	0.5851968084
102	0.5850388344
103	0.5849315857
104	0.5848228194
105	0.5846815635
106	0.5845739805
107	0.5844753665
108	0.5843876991
109	0.5842942693
110	0.5842199174
111	0.5841387778
112	0.5840526748
113	0.5839434889
114	0.5837941741
115	0.5836667847
116	0.58347814
117	0.5833693995
118	0.5832205666
119	0.5830839128
120	0.5829150237
121	0.5827685623
122	0.5825795475
123	0.5824249135
124	0.582225213
125	0.5820934947
126	0.5819588366
127	0.5817874615
128	0.5816948391
129	0.5815226115
130	0.5813807053
131	0.5812113797
132	0.5810531709
133	0.5809063911
134	0.5807330617
135	0.5805223133
136	0.5803585111
137	0.5802134073
138	0.5800272234
139	0.5799261318
140	0.5797969842
141	0.5795870696
142	0.5793800941
143	0.5791984895
144	0.579042177
145	0.578918273
146	0.5787169483
147	0.5785084975
148	0.5783759531
149	0.5781993501
150	0.5780152808
151	0.5778626172
152	0.5776229687
153	0.5774483567
154	0.5772984951
155	0.5771388262
156	0.5769843504
157	0.5768063535
158	0.5766301293
159	0.5764804156
160	0.5762906953
161	0.5761418928
162	0.5759838633
163	0.575813468
164	0.5755927248
165	0.5754747624
166	0.5753145801
167	0.5751398698
168	0.5750392057
169	0.5748875612
170	0.5747444791
171	0.5746158402
172	0.5744420448
173	0.5742596172
174	0.5740890111
175	0.5739366816
176	0.5737847002
177	0.5736253756
178	0.5734252092
179	0.5732806452
180	0.5730162686
181	0.5729386683
182	0.5727750091
183	0.5725982654
184	0.5724427762
185	0.5722690803
186	0.5721532825
187	0.5719456309
188	0.5718379363
189	0.571711295
190	0.571549926
191	0.5714203386
192	0.5711957427
193	0.5710341525
194	0.5708520185
195	0.570740728
196	0.5705931479
197	0.5705202296
198	0.570378308
199	0.5702024758
200	0.5700370129
201	0.5698520162
202	0.5697020568
203	0.569544498
204	0.569417971
205	0.5692689024
206	0.5691052517
207	0.5689461789
208	0.5688412176
209	0.5686857839
210	0.5685601477
211	0.5684319148
212	0.5682895999
213	0.5680870489
214	0.5679567571
215	0.5677852832
216	0.5676257962
217	0.5674463366
218	0.5673161509
219	0.5671784593
220	0.5670190902
221	0.5668696312
222	0.5667536149
223	0.5666189132
224	0.5664976362
225	0.5663830879
226	0.5662839392
227	0.5661598065
228	0.5660405472
229	0.5658836364
230	0.5657608457
231	0.5656067668
232	0.5654674206
233	0.5653014725
234	0.565175305
235	0.5651160797
236	0.5649496698
237	0.5648128229
238	0.5647475542
239	0.564628338
240	0.5645172113
241	0.564368973
242	0.5641813058
243	0.5640214896
244	0.5638953057
245	0.563752564
246	0.5636311646
247	0.5635383868
248	0.563386109
249	0.5632015453
250	0.5631226115
251	0.5630036496
252	0.5628499761
253	0.5627199745
254	0.5625495257
255	0.5624008981
256	0.5623468088
257	0.5622005559
258	0.5620995876
259	0.5620103119
260	0.56188871
261	0.561809231
262	0.5616685561
263	0.5614770583
264	0.5613428615
265	0.5611852909
266	0.5610501248
267	0.560916236
268	0.5607595103
269	0.5606612672
270	0.5605424204
271	0.5603725149
272	0.5602220136
273	0.5601143129
274	0.5599953093
275	0.559843816
276	0.5596887495
277	0.5595667925
278	0.5594453612
279	0.5593375179
280	0.5592154439
281	0.5591137124
282	0.5589937657
283	0.5588753611
284	0.5587733736
285	0.5586546172
286	0.5585647178
287	0.5584323883
288	0.5583407815
289	0.5581835597
290	0.5580664315
291	0.5579429121
292	0.5577643245
293	0.5576267801
294	0.55747496
295	0.5573386428
296	0.5572352875
297	0.5570819354
298	0.5570396171
299	0.5568587452
300	0.5566942698
301	0.5565485778
302	0.5564117724
303	0.5562892971
304	0.5561257619
305	0.5560185293
306	0.5559210183
307	0.5557868469
308	0.555695696
309	0.5555715861
310	0.5553907077
311	0.5552644646
312	0.5551199865
313	0.5549572615
314	0.5548359623
315	0.5547426853
316	0.554608585
317	0.5545068853
318	0.5543726388
319	0.5542236347
320	0.5541103556
321	0.5539438674
322	0.5538440262
323	0.5537571754
324	0.5536241433
325	0.5534929296
326	0.5533850429
327	0.5532284982
328	0.5531319264
329	0.5529562439
330	0.5528552855
331	0.5527565442
332	0.5526436732
333	0.5524445538
334	0.552351344
335	0.5522224226
336	0.552102712
337	0.5520129786
338	0.5519004576
339	0.5517650767
340	0.5516200475
341	0.551445146
342	0.5513102768
343	0.5511591661
344	0.5510287266
345	0.5508951285
346	0.5507306175
347	0.5506180989
348	0.5505189168
349	0.5503695941
350	0.5502392037
351	0.5501565045
352	0.5500310944
353	0.5499403187
354	0.5498371821
355	0.5496809475
356	0.5495786049
357	0.5495095939
358	0.5493999643
359	0.5492380781
360	0.5490919158
361	0.5489558807
362	0.5488466477
363	0.5487478107
364	0.5486148801
365	0.5485336074
366	0.5484247654
367	0.5482993499
368	0.5481942733
369	0.5480983997
370	0.5479780087
371	0.5478054085
372	0.547682665
373	0.5474910225
374	0.5474069875
375	0.5473322268
376	0.5472229771
377	0.5471919463
378	0.5470723448
379	0.5469192967
380	0.546786744
381	0.5466707884
382	0.5465553836
383	0.5464533321
384	0.5463397603
385	0.5462441733
386	0.5461388832
387	0.5460339674
388	0.5459158564
389	0.5458017649
390	0.545692745
391	0.5455617495
392	0.5454007228
393	0.5452814756
394	0.5451718217
395	0.5450564528
396	0.5450002387
397	0.5448909532
398	0.5447592348
399	0.5446402041
400	0.5445339518
401	0.5444008002
402	0.5442719641
403	0.5441193263
404	0.5440523943
405	0.5439589984
406	0.5438279225
407	0.5437133793
408	0.5435729682
409	0.5434480523
410	0.5433389729
